ybs1_id,year,borough,stname,street_name_direction,street_name_direction_affix_type,street_name_stem,street_name_type,street_name_type_affix_type,street_name_stem_nysiis
0,1850,1,1 av,,,1,av,suffix,1
1,1850,1,10 av,,,10,av,suffix,10
2,1850,1,11 av,,,11,av,suffix,11
9,1850,1,2 av,,,2,av,suffix,2
10,1850,1,3 av,,,3,av,suffix,3
11,1850,1,4 av,,,4,av,suffix,4
12,1850,1,4 st,,,4,st,suffix,4
13,1850,1,5 av,,,5,av,suffix,5
14,1850,1,5 st,,,5,st,suffix,5
15,1850,1,6 av,,,6,av,suffix,6
16,1850,1,6 st,,,6,st,suffix,6
18,1850,1,7 av,,,7,av,suffix,7
19,1850,1,7 st,,,7,st,suffix,7
20,1850,1,8 av,,,8,av,suffix,8
21,1850,1,8 st,,,8,st,suffix,8
22,1850,1,9 av,,,9,av,suffix,9
23,1850,1,abingdon pl,,,abingdon,pl,suffix,ABANGDAN
24,1850,1,albany st,,,albany,st,suffix,ALBANY
25,1850,1,allen st,,,allen,st,suffix,ALAN
26,1850,1,amity st,,,amity,st,suffix,ANATY
27,1850,1,amos st,,,amos,st,suffix,AN
29,1850,1,ann st,,,ann,st,suffix,AN
30,1850,1,anthony st,,,anthony,st,suffix,ANTANY
31,1850,1,astor pl,,,astor,pl,suffix,ASTAR
32,1850,1,attorney st,,,attorney,st,suffix,ATARNY
33,1850,1,av a,,,a,av,prefix,
34,1850,1,av b,,,b,av,prefix,
35,1850,1,av c,,,c,av,prefix,
36,1850,1,av d,,,d,av,prefix,
37,1850,1,bank st,,,bank,st,suffix,BANC
38,1850,1,barclay st,,,barclay,st,suffix,BARCLY
39,1850,1,barrow st,,,barrow,st,suffix,BARAO
40,1850,1,batavia st,,,batavia,st,suffix,BATAV
41,1850,1,battery pl,,,battery,pl,suffix,BATARY
42,1850,1,baxter st,,,baxter,st,suffix,BAXTAR
43,1850,1,bayard st,,,bayard,st,suffix,BAYAD
44,1850,1,beach st,,,beach,st,suffix,BAC
45,1850,1,beaver st,,,beaver,st,suffix,BAVAR
46,1850,1,bedfort st,,,bedfort,st,suffix,BADFAD
47,1850,1,beekman st,,,beekman,st,suffix,BACNAN
